	AUROC	AUROC	AUROC	AUROC_hi95	AUROC_hi95	AUROC_hi95	AUROC_lo95	AUROC_lo95	AUROC_lo95
in_master	False	True	all	False	True	all	False	True	all
algorithm									
BigMHC_EL	0.593192195931922	0.6486319505736982	0.6230713596914175	0.7175002798925213	0.7185389264130821	0.6838619769832714	0.4701746024920689	0.581525567516155	0.5604955144342874
BigMHC_IM	0.6259858862598588	0.8415710503089144	0.7476695596271296	0.7340595716532747	0.8875164723477182	0.8002505093250344	0.5096767119411432	0.7888724968988127	0.6944258232796034
MHCflurry_affinity_neg	0.6475716064757161	0.63477493380406	0.6289376406300224	0.7700539350355526	0.7049604458827761	0.6923960880982417	0.5007726648351648	0.5549446431720282	0.5685505971858639
MHCflurry_presentation	0.668327106683271	0.6415710503089145	0.63673256187721	0.7943669729167802	0.7113823226619669	0.698180405740993	0.5540691229239914	0.5590885270529109	0.5773922516123926
Ours_BiophysStructLR	0.653169014084507	0.689517625231911	0.6893752656183595	0.7588307623518891	0.7533061642894074	0.7425421909214865	0.5311831662489557	0.6187555163283318	0.6320039393013389
Ours_ESM2_Bayesian	0.4106514084507042	0.9384972170686456	0.7840628984275395	0.5336376779783945	0.966086356721563	0.8319209069299701	0.29752679005215926	0.9033987253346462	0.7364228794461354
Ours_LR8d	0.6039850560398505	0.6847308031774051	0.6592333654773385	0.718296948713696	0.7524187323570924	0.7171111655142288	0.48044295332807657	0.6166721621225297	0.6014371954285676
Ours_VQC	0.597343295973433	0.6007943512797882	0.5985213757634201	0.7105488147605084	0.6791632781391392	0.6593977978216949	0.4818152021506801	0.5281750878884095	0.5342589697906862
Ours_Wave1_plus_Struct	0.585387323943662	0.8421150278293136	0.7724606884827879	0.7081995111177287	0.8915460156096728	0.8244103734224568	0.46721909826372304	0.780977943914866	0.7212357319475634
PRIME_rank_neg	0.5706335616438356	0.5658645276292336	0.5680817225348666	0.6893027497194163	0.6433705568411456	0.6354761885444665	0.4568412095439745	0.4834461729651483	0.5010261060923936
PRIME_score	0.5911815068493151	0.5583778966131907	0.5676535356006851	0.7075678652968037	0.6332692943380188	0.6308729889199955	0.4693645640074211	0.47699048913043474	0.5055322384428225
