method	category	n	n_pos	auroc	auroc_ci_lo	auroc_ci_hi	auprc	auprc_ci_lo	auprc_ci_hi	note
Structure_LR	existing_method	89	21	0.6785714285714285	0.5475818957162242	0.8167004504504504	0.43469892603623533	0.2599814221938166	0.6557886772637553	
MHCflurry	existing_method	89	21	0.6568627450980392	0.4721261528326745	0.8125521978021977	0.4884773732064069	0.2989061167575672	0.7049007443147423	
ESMFold_univariate__min_pLDDT_peptide	structure_univariate	89	21	0.6435574229691876	0.5268955399061033	0.7647549019607843	0.3134641894861607	0.21949755258483297	0.49309157972532935	direction=inverse; raw_auroc=0.356
Wave8_TCR_SelfSim_no_exact+ESMFold_3D_LR_repeated5x5_CV	combo_cv	89	21	0.6365546218487396	0.5008675213675214	0.7753603479853478	0.32063878964475945	0.2060974089579033	0.5249402416125624	strict-set internal CV; includes existing score as one feature
Wave8_TCR_SelfSim_full+ESMFold_3D_LR_repeated5x5_CV	combo_cv	89	21	0.6358543417366948	0.49759393831974474	0.7718478260869563	0.3178930526831216	0.20502320121281592	0.5142844023615414	strict-set internal CV; includes existing score as one feature
Wave8_TCR_SelfSim_full	existing_method	89	21	0.6320028011204482	0.47049622992557777	0.7847007775684065	0.4027740564641288	0.23080519905341246	0.6489847215236744	
Wave8_TCR_SelfSim_no_exact	existing_method	89	21	0.6285014005602241	0.4608270676691729	0.7771194070035504	0.47229847906089184	0.27199132309380486	0.6621592461448835	
Wave8_TCR_motif_only	existing_method	89	21	0.625	0.48230346129061963	0.7785793268382223	0.46207161028864036	0.2826732265719747	0.6730368847104083	
ESMFold_univariate__mean_pLDDT_peptide	structure_univariate	89	21	0.6085434173669467	0.4751627307705885	0.7485521413291398	0.3101943134454755	0.1965494765285933	0.5110009452813655	direction=inverse; raw_auroc=0.391
Structure_LR+ESMFold_3D_LR_repeated5x5_CV	combo_cv	89	21	0.5980392156862745	0.4416271564256639	0.7520910514743532	0.3571489746478814	0.2177658488542467	0.5855718241223368	strict-set internal CV; includes existing score as one feature
BigMHC_IM	existing_method	89	21	0.59593837535014	0.4307020547945205	0.7264090684457623	0.2880952993188715	0.1853191280445904	0.47425044308308456	
ESMFold_3D_LR_repeated5x5_CV	structure_cv	89	21	0.569327731092437	0.4265263157894737	0.7157045654082529	0.2793500054696086	0.18138441459122867	0.43796166751462146	strict-set internal CV
PRIME	existing_method	89	21	0.5686274509803921	0.39802283701811797	0.7106793478260868	0.30294916290247637	0.17810751964707724	0.5016547531708377	
ESMFold_univariate__radius_of_gyration_peptide	structure_univariate	89	21	0.5679271708683473	0.43279010087900427	0.7043776698179272	0.33367784371986225	0.19861986512849267	0.51167285696891	direction=inverse; raw_auroc=0.432
ESMFold_univariate__max_min_pep_to_hla_CA_dist	structure_univariate	89	21	0.561624649859944	0.4145476779585647	0.7071998947981019	0.2775820574001214	0.1765003634706625	0.45759631938399165	direction=raw; raw_auroc=0.562
ESMFold_univariate__peptide_helicity_proxy	structure_univariate	89	21	0.5581232492997198	0.4487312657999278	0.6682412468175553	0.2630188193591083	0.17096131089480396	0.41852695776242427	direction=raw; raw_auroc=0.558
ESMFold_univariate__interface_contacts_10A	structure_univariate	89	21	0.5535714285714286	0.4042750499750125	0.699810727210485	0.2856040043611993	0.17000827707329338	0.45348064176793373	direction=inverse; raw_auroc=0.446
ESMFold_univariate__n_buried_residues_8A	structure_univariate	89	21	0.5518207282913166	0.46902127347417844	0.6304507349058265	0.25764244187889507	0.16649484468685347	0.3598941308327883	direction=inverse; raw_auroc=0.448
ESMFold_univariate__mean_min_pep_to_hla_CA_dist	structure_univariate	89	21	0.5511204481792716	0.39934294871794873	0.6916648218238945	0.3395990918883422	0.19995326842859024	0.5134008482006527	direction=raw; raw_auroc=0.551
ESMFold_univariate__end_to_end_CA_dist	structure_univariate	89	21	0.5462184873949579	0.4043032329988852	0.6843233082706766	0.2995009816821196	0.18053880752897386	0.5033547411183336	direction=inverse; raw_auroc=0.454
NetMHCpan_4.1	existing_method	89	21	0.5427170868347339	0.37525023889154324	0.6843910256410256	0.2876618201330079	0.18766967990265834	0.5055714728335255	
MHCflurry+ESMFold_3D_LR_repeated5x5_CV	combo_cv	89	21	0.5266106442577031	0.38255786525136376	0.6874370777027027	0.2611991832305208	0.16928665901818785	0.4148872977076717	strict-set internal CV; includes existing score as one feature
ESMFold_univariate__mean_pLDDT_HLA	structure_univariate	89	21	0.5245098039215687	0.3936693218954248	0.6478278567636128	0.2818634426682125	0.16528193250656373	0.4467464179083449	direction=inverse; raw_auroc=0.475
ESMFold_univariate__anchor_pLDDT	structure_univariate	89	21	0.5245098039215687	0.4076752450980392	0.6569073418841221	0.2564579313931332	0.16676714109594698	0.40742951597202276	direction=raw; raw_auroc=0.525
Wave8_TCR_only	existing_method	89	21	0.5238095238095237	0.3797052364864865	0.6560553112931845	0.27106137261134206	0.16290187424854252	0.4562491265827071	
ESMFold_univariate__interface_contacts_8A	structure_univariate	89	21	0.5098039215686274	0.3896061339555585	0.6343308270676692	0.2437505838789948	0.15678170502706543	0.39978243363673577	direction=raw; raw_auroc=0.510
ESM2_Bayesian	existing_method	89	21	0.4642857142857143	0.3221149789630913	0.6133207468844425	0.2393167573955422	0.1495258121878671	0.43059169851951345	
