model	seed	n_params	auc_target	dial	time_s	error
baseline_random_32	0	2048	0.27156249999999993	0.22843750000000007	0.0566411018371582	
pca_32	0	2048	0.13341145833333334	0.36658854166666666	0.060649871826171875	
pca_128	0	4096	0.14046875	0.35953124999999997	0.11587762832641602	
ae_64	0	8320	0.1897395833333333	0.3102604166666667	0.9481987953186035	
ae_256	0	103040	0.15468749999999998	0.3453125	0.7368133068084717	
mlp_512	0	854080	0.133671875	0.366328125	2.820258855819702	
mlp_768_deep	0	2461504	0.14401041666666667	0.3559895833333333	7.835836172103882	
mlp_1024_xdeep	0	5380160	0.14033854166666668	0.3596614583333333	19.759830236434937	
baseline_random_32	1	2048	0.31872395833333333	0.18127604166666667	0.0714409351348877	
pca_32	1	2048	0.15531250000000002	0.34468750000000004	0.09897637367248535	
pca_128	1	4096	0.14924479166666665	0.3507552083333334	0.13934612274169922	
ae_64	1	8320	0.20377604166666666	0.29622395833333337	0.18503069877624512	
ae_256	1	103040	0.163828125	0.336171875	0.6025922298431396	
mlp_512	1	854080	0.15916666666666668	0.3408333333333333	2.6836915016174316	
mlp_768_deep	1	2461504	0.15312499999999998	0.34687500000000004	7.541900634765625	
mlp_1024_xdeep	1	5380160	0.14908854166666669	0.35091145833333326	19.597978353500366	
baseline_random_32	2	2048	0.31437499999999996	0.18562500000000004	0.020339250564575195	
pca_32	2	2048	0.17518229166666666	0.32481770833333334	0.11751985549926758	
pca_128	2	4096	0.19677083333333334	0.30322916666666666	0.1220552921295166	
ae_64	2	8320	0.22489583333333335	0.2751041666666667	0.1754131317138672	
ae_256	2	103040	0.21643229166666667	0.28356770833333333	0.6302452087402344	
mlp_512	2	854080	0.20453125000000003	0.29546874999999995	2.695773124694824	
mlp_768_deep	2	2461504	0.20416666666666666	0.2958333333333334	7.742187976837158	
mlp_1024_xdeep	2	5380160	0.19937500000000002	0.3006249999999999	19.679784774780273	
