sample	stage	cluster_size
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
GSM7980864_PTC-1	PTC	1
